car_directory,cars,total,cars_70,cars_90,brand,model,year,brand_and_model,span_years,gap,cars_brand_model,cars_brand_model_70
peugeot_rcz_2010,138,241,136,134,peugeot,rcz,2010,peugeot_rcz,7,0,820,802
mercedes-benz_e-270_2003,76,124,76,73,mercedes-benz,e-270,2003,mercedes-benz_e-270,6,0,694,682
fiat_500l_2012,93,155,93,92,fiat,500l,2012,fiat_500l,7,0,990,982
mercedes-benz_e-500_2010,64,114,63,61,mercedes-benz,e-500,2010,mercedes-benz_e-500,13,6,716,704
seat_leon_2006,151,258,146,141,seat,leon,2006,seat_leon,18,0,2467,2426
volkswagen_jetta_2011,68,135,67,66,volkswagen,jetta,2011,volkswagen_jetta,12,0,1466,1448
mercedes-benz_gla-250_2017,51,129,49,47,mercedes-benz,gla-250,2017,mercedes-benz_gla-250,5,0,397,382
audi_s1_2018,66,156,65,64,audi,s1,2018,audi_s1,5,0,527,514
nissan_x-trail_2016,74,201,74,74,nissan,x-trail,2016,nissan_x-trail,17,0,1930,1918
saab_9-3_2002,127,209,125,119,saab,9-3,2002,saab_9-3,12,0,1486,1453
smart_fortwo_2013,134,249,132,126,smart,fortwo,2013,smart_fortwo,18,0,2410,2349
fiat_doblo_2008,79,131,77,73,fiat,doblo,2008,fiat_doblo,18,0,2413,2381
fiat_doblo_2014,110,239,109,106,fiat,doblo,2014,fiat_doblo,18,0,2413,2381
honda_accord_2003,51,98,50,49,honda,accord,2003,honda_accord,14,1,1360,1345
mercedes-benz_c-300_2013,57,127,57,55,mercedes-benz,c-300,2013,mercedes-benz_c-300,8,1,614,603
bentley_bentayga_2017,60,109,56,51,bentley,bentayga,2017,bentley_bentayga,2,0,168,160
mercedes-benz_slc-43-amg_2018,74,199,71,68,mercedes-benz,slc-43-amg,2018,mercedes-benz_slc-43-amg,2,0,181,171
volkswagen_t5-caravelle_2010,62,114,61,60,volkswagen,t5-caravelle,2010,volkswagen_t5-caravelle,12,0,1238,1223
bmw_325_2010,79,132,77,72,bmw,325,2010,bmw_325,16,0,1962,1904
bmw_730_2017,39,150,38,37,bmw,730,2017,bmw_730,16,0,1569,1551
fiat_croma_2006,79,170,79,76,fiat,croma,2006,fiat_croma,7,0,705,692
volkswagen_golf-variant_2004,52,113,52,50,volkswagen,golf-variant,2004,volkswagen_golf-variant,18,0,2379,2348
mercedes-benz_a-170_2009,87,162,86,84,mercedes-benz,a-170,2009,mercedes-benz_a-170,10,0,983,971
maserati_quattroporte_2005,87,179,86,83,maserati,quattroporte,2005,maserati_quattroporte,14,2,1307,1291
citroen_xsara-picasso_2005,155,344,155,149,citroen,xsara-picasso,2005,citroen_xsara-picasso,10,0,1440,1429
mercedes-benz_b-200_2005,104,218,104,102,mercedes-benz,b-200,2005,mercedes-benz_b-200,14,0,1457,1426
subaru_impreza_2005,174,359,171,165,subaru,impreza,2005,subaru_impreza,18,4,2173,2141
honda_civic_2007,165,352,157,151,honda,civic,2007,honda_civic,18,0,2569,2507
bmw_x5_2014,102,269,101,90,bmw,x5,2014,bmw_x5,18,0,2031,2014
jeep_grand-cherokee_2011,92,198,92,92,jeep,grand-cherokee,2011,jeep_grand-cherokee,18,0,1980,1949
bmw_120_2007,176,410,174,170,bmw,120,2007,bmw_120,15,0,2194,2159
opel_movano_2004,68,137,65,62,opel,movano,2004,opel_movano,15,2,1386,1327
mazda_6_2007,97,202,96,92,mazda,6,2007,mazda_6,17,0,1892,1874
bmw_318_2008,93,218,93,90,bmw,318,2008,bmw_318,18,0,2245,2216
bmw_x5_2005,187,379,185,179,bmw,x5,2005,bmw_x5,18,0,2031,2014
citroen_c4_2005,102,212,100,98,citroen,c4,2005,citroen_c4,14,0,1721,1706
peugeot_407_2005,130,287,130,129,peugeot,407,2005,peugeot_407,8,0,1090,1079
peugeot_boxer_2005,76,162,76,68,peugeot,boxer,2005,peugeot_boxer,15,0,1723,1670
bmw_x4_2016,127,367,126,121,bmw,x4,2016,bmw_x4,5,0,577,571
citroen_berlingo_2005,137,323,135,130,citroen,berlingo,2005,citroen_berlingo,18,0,2269,2224
nissan_qashqai+2_2013,95,253,94,94,nissan,qashqai+2,2013,nissan_qashqai+2,6,0,620,614
citroen_jumpy_2009,122,261,118,117,citroen,jumpy,2009,citroen_jumpy,13,0,1547,1522
volkswagen_beetle_2014,109,265,107,102,volkswagen,beetle,2014,volkswagen_beetle,18,7,1025,1002
maserati_granturismo_2008,109,235,106,98,maserati,granturismo,2008,maserati_granturismo,6,0,702,676
nissan_qashqai+2_2011,109,253,108,106,nissan,qashqai+2,2011,nissan_qashqai+2,6,0,620,614
mercedes-benz_a-170_2005,94,204,92,89,mercedes-benz,a-170,2005,mercedes-benz_a-170,10,0,983,971
ford_f-150_2011,84,173,82,75,ford,f-150,2011,ford_f-150,8,2,683,668
mercedes-benz_s-320_2003,105,225,105,101,mercedes-benz,s-320,2003,mercedes-benz_s-320,9,0,1052,1038
bmw_m3_2014,99,225,98,97,bmw,m3,2014,bmw_m3,18,1,1834,1777
suzuki_jimny_2004,181,367,172,158,suzuki,jimny,2004,suzuki_jimny,18,0,2602,2499
citroen_xsara-picasso_2001,131,251,130,129,citroen,xsara-picasso,2001,citroen_xsara-picasso,10,0,1440,1429
infiniti_q30_2016,116,269,115,111,infiniti,q30,2016,infiniti_q30,3,0,363,356
smart_brabus_2014,90,167,90,82,smart,brabus,2014,smart_brabus,11,2,926,905
daihatsu_terios_2012,83,184,80,79,daihatsu,terios,2012,daihatsu_terios,7,0,682,669
bmw_x6_2018,120,359,117,113,bmw,x6,2018,bmw_x6,11,0,1209,1201
mini_cooper-d-clubman_2008,98,205,97,94,mini,cooper-d-clubman,2008,mini_cooper-d-clubman,11,0,1109,1084
audi_tt_2003,119,233,117,113,audi,tt,2003,audi_tt,18,0,2359,2315
mercedes-benz_glc-220_2015,99,248,99,97,mercedes-benz,glc-220,2015,mercedes-benz_glc-220,4,0,399,392
suzuki_grand-vitara_2004,164,354,158,150,suzuki,grand-vitara,2004,suzuki_grand-vitara,14,0,1697,1664
bmw_m5_2014,125,291,123,118,bmw,m5,2014,bmw_m5,13,4,911,893
mini_cooper_2018,103,352,100,93,mini,cooper,2018,mini_cooper,18,0,2601,2552
infiniti_qx30_2017,103,261,103,95,infiniti,qx30,2017,infiniti_qx30,3,0,313,313
mercedes-benz_glk-320_2008,115,262,113,109,mercedes-benz,glk-320,2008,mercedes-benz_glk-320,3,0,266,261
honda_cr-v_2003,112,234,112,106,honda,cr-v,2003,honda_cr-v,18,1,1716,1692
mazda_3_2011,106,235,105,101,mazda,3,2011,mazda_3,15,0,1690,1665
peugeot_607_2001,66,180,64,64,peugeot,607,2001,peugeot_607,8,0,716,700
lamborghini_huracán_2016,138,280,131,124,lamborghini,huracán,2016,lamborghini_huracán,3,0,390,375
renault_grand-espace_2004,79,227,79,76,renault,grand-espace,2004,renault_grand-espace,12,0,1201,1183
mercedes-benz_180_2014,88,213,88,87,mercedes-benz,180,2014,mercedes-benz_180,8,0,734,727
mercedes-benz_s-500_2015,91,251,90,86,mercedes-benz,s-500,2015,mercedes-benz_s-500,18,0,1870,1824
bmw_523_2011,104,274,104,102,bmw,523,2011,bmw_523,11,3,748,741
lancia_musa_2007,153,353,151,147,lancia,musa,2007,lancia_musa,9,0,1156,1138
mercedes-benz_clk-270_2003,108,214,108,105,mercedes-benz,clk-270,2003,mercedes-benz_clk-270,4,0,460,454
fiat_doblo_2004,148,299,145,137,fiat,doblo,2004,fiat_doblo,18,0,2413,2381
mercedes-benz_sl-500_2005,120,215,119,118,mercedes-benz,sl-500,2005,mercedes-benz_sl-500,13,6,872,847
kia_sorento_2006,80,206,79,77,kia,sorento,2006,kia_sorento,16,0,1849,1830
peugeot_5008_2016,89,244,89,88,peugeot,5008,2016,peugeot_5008,9,0,1097,1085
dodge_ram_2004,53,121,53,52,dodge,ram,2004,dodge_ram,16,0,2077,2025
nissan_note_2011,93,231,93,93,nissan,note,2011,nissan_note,13,0,1270,1262
mercedes-benz_a-220_2016,92,232,91,87,mercedes-benz,a-220,2016,mercedes-benz_a-220,6,0,598,586
suzuki_liana_2004,115,234,112,105,suzuki,liana,2004,suzuki_liana,3,0,294,287
mini_cooper-d_2018,84,262,83,78,mini,cooper-d,2018,mini_cooper-d,12,0,1354,1340
kia_carens_2003,89,180,88,86,kia,carens,2003,kia_carens,16,2,1544,1524
porsche_macan_2016,97,258,93,90,porsche,macan,2016,porsche_macan,5,0,519,499
bmw_x1_2011,98,241,98,98,bmw,x1,2011,bmw_x1,10,0,1012,1006
fiat_punto-evo_2016,88,206,88,88,fiat,punto-evo,2016,fiat_punto-evo,9,0,1050,1037
volkswagen_lupo_2003,110,232,109,107,volkswagen,lupo,2003,volkswagen_lupo,6,0,789,775
volkswagen_sharan_2003,141,314,140,135,volkswagen,sharan,2003,volkswagen_sharan,18,0,2091,2055
volkswagen_t5-shuttle_2005,38,98,37,32,volkswagen,t5-shuttle,2005,volkswagen_t5-shuttle,1,0,38,37
bmw_525_2009,106,205,102,97,bmw,525,2009,bmw_525,18,0,1912,1883
kia_venga_2012,115,279,114,113,kia,venga,2012,kia_venga,9,0,947,937
ferrari_california_2013,116,219,112,104,ferrari,california,2013,ferrari_california,9,0,1120,1084
fiat_punto_2016,117,232,116,115,fiat,punto,2016,fiat_punto,18,0,2405,2367
mini_one-d_2013,82,217,81,80,mini,one-d,2013,mini_one-d,15,2,1459,1430
opel_zafira_2018,76,217,75,70,opel,zafira,2018,opel_zafira,18,0,2137,2116
bmw_m5_2007,126,248,124,118,bmw,m5,2007,bmw_m5,13,4,911,893
mazda_mx-5_2013,112,230,111,107,mazda,mx-5,2013,mazda_mx-5,18,0,2864,2800
mercedes-benz_a-200_2012,106,224,103,95,mercedes-benz,a-200,2012,mercedes-benz_a-200,14,0,1597,1564
audi_a5_2013,187,448,180,172,audi,a5,2013,audi_a5,12,0,1739,1702
mercedes-benz_gla-220_2016,89,244,87,79,mercedes-benz,gla-220,2016,mercedes-benz_gla-220,5,0,468,456
nissan_qashqai_2017,108,266,108,108,nissan,qashqai,2017,nissan_qashqai,12,0,1292,1272
volkswagen_golf-sportsvan_2017,66,200,65,63,volkswagen,golf-sportsvan,2017,volkswagen_golf-sportsvan,5,0,442,433
mini_cooper-d-countryman_2016,178,429,177,174,mini,cooper-d-countryman,2016,mini_cooper-d-countryman,9,0,1183,1166
fiat_punto-evo_2014,101,267,99,96,fiat,punto-evo,2014,fiat_punto-evo,9,0,1050,1037
mitsubishi_pajero_2013,104,252,102,91,mitsubishi,pajero,2013,mitsubishi_pajero,18,0,1995,1932
volkswagen_new-beetle_2011,46,100,46,41,volkswagen,new-beetle,2011,volkswagen_new-beetle,13,1,1820,1770
fiat_grande-punto_2007,180,355,178,173,fiat,grande-punto,2007,fiat_grande-punto,12,0,1471,1456
