car_directory,cars,total,cars_70,cars_90
peugeot_rcz_2010,138,241,136,134
mercedes-benz_e-270_2003,76,124,76,73
fiat_500l_2012,93,155,93,92
mercedes-benz_e-500_2010,64,114,63,61
seat_leon_2006,151,258,146,141
volkswagen_jetta_2011,68,135,67,66
mercedes-benz_gla-250_2017,51,129,49,47
audi_s1_2018,66,156,65,64
nissan_x-trail_2016,74,201,74,74
saab_9-3_2002,127,209,125,119
smart_fortwo_2013,134,249,132,126
fiat_doblo_2008,79,131,77,73
fiat_doblo_2014,110,239,109,106
honda_accord_2003,51,98,50,49
mercedes-benz_c-300_2013,57,127,57,55
bentley_bentayga_2017,60,109,56,51
mercedes-benz_slc-43-amg_2018,74,199,71,68
volkswagen_t5-caravelle_2010,62,114,61,60
bmw_325_2010,79,132,77,72
bmw_730_2017,39,150,38,37
fiat_croma_2006,79,170,79,76
volkswagen_golf-variant_2004,52,113,52,50
mercedes-benz_a-170_2009,87,162,86,84
maserati_quattroporte_2005,87,179,86,83
citroen_xsara-picasso_2005,155,344,155,149
mercedes-benz_b-200_2005,104,218,104,102
subaru_impreza_2005,174,359,171,165
honda_civic_2007,165,352,157,151
bmw_x5_2014,102,269,101,90
jeep_grand-cherokee_2011,92,198,92,92
bmw_120_2007,176,410,174,170
opel_movano_2004,68,137,65,62
mazda_6_2007,97,202,96,92
bmw_318_2008,93,218,93,90
bmw_x5_2005,187,379,185,179
citroen_c4_2005,102,212,100,98
peugeot_407_2005,130,287,130,129
peugeot_boxer_2005,76,162,76,68
bmw_x4_2016,127,367,126,121
citroen_berlingo_2005,137,323,135,130
nissan_qashqai+2_2013,95,253,94,94
citroen_jumpy_2009,122,261,118,117
volkswagen_beetle_2014,109,265,107,102
maserati_granturismo_2008,109,235,106,98
nissan_qashqai+2_2011,109,253,108,106
mercedes-benz_a-170_2005,94,204,92,89
ford_f-150_2011,84,173,82,75
mercedes-benz_s-320_2003,105,225,105,101
bmw_m3_2014,99,225,98,97
suzuki_jimny_2004,181,367,172,158
citroen_xsara-picasso_2001,131,251,130,129
infiniti_q30_2016,116,269,115,111
smart_brabus_2014,90,167,90,82
daihatsu_terios_2012,83,184,80,79
bmw_x6_2018,120,359,117,113
mini_cooper-d-clubman_2008,98,205,97,94
audi_tt_2003,119,233,117,113
mercedes-benz_glc-220_2015,99,248,99,97
suzuki_grand-vitara_2004,164,354,158,150
bmw_m5_2014,125,291,123,118
mini_cooper_2018,103,352,100,93
infiniti_qx30_2017,103,261,103,95
mercedes-benz_glk-320_2008,115,262,113,109
honda_cr-v_2003,112,234,112,106
mazda_3_2011,106,235,105,101
peugeot_607_2001,66,180,64,64
lamborghini_huracán_2016,138,280,131,124
renault_grand-espace_2004,79,227,79,76
mercedes-benz_180_2014,88,213,88,87
mercedes-benz_s-500_2015,91,251,90,86
bmw_523_2011,104,274,104,102
lancia_musa_2007,153,353,151,147
mercedes-benz_clk-270_2003,108,214,108,105
fiat_doblo_2004,148,299,145,137
mercedes-benz_sl-500_2005,120,215,119,118
kia_sorento_2006,80,206,79,77
peugeot_5008_2016,89,244,89,88
dodge_ram_2004,53,121,53,52
nissan_note_2011,93,231,93,93
mercedes-benz_a-220_2016,92,232,91,87
suzuki_liana_2004,115,234,112,105
mini_cooper-d_2018,84,262,83,78
kia_carens_2003,89,180,88,86
porsche_macan_2016,97,258,93,90
bmw_x1_2011,98,241,98,98
fiat_punto-evo_2016,88,206,88,88
volkswagen_lupo_2003,110,232,109,107
volkswagen_sharan_2003,141,314,140,135
volkswagen_t5-shuttle_2005,38,98,37,32
bmw_525_2009,106,205,102,97
kia_venga_2012,115,279,114,113
ferrari_california_2013,116,219,112,104
fiat_punto_2016,117,232,116,115
mini_one-d_2013,82,217,81,80
opel_zafira_2018,76,217,75,70
bmw_m5_2007,126,248,124,118
mazda_mx-5_2013,112,230,111,107
mercedes-benz_a-200_2012,106,224,103,95
audi_a5_2013,187,448,180,172
mercedes-benz_gla-220_2016,89,244,87,79
nissan_qashqai_2017,108,266,108,108
volkswagen_golf-sportsvan_2017,66,200,65,63
mini_cooper-d-countryman_2016,178,429,177,174
fiat_punto-evo_2014,101,267,99,96
mitsubishi_pajero_2013,104,252,102,91
volkswagen_new-beetle_2011,46,100,46,41
fiat_grande-punto_2007,180,355,178,173
skoda_octavia_2001,98,210,96,92
hyundai_santa-fe_2011,85,210,85,84
skoda_citigo_2017,99,261,96,92
seat_alhambra_2017,128,369,127,124
fiat_barchetta_2002,97,164,91,89
audi_s6_2007,104,242,103,102
jeep_grand-cherokee_2015,103,256,96,89
chevrolet_nubira_2007,105,243,104,101
bmw_650_2007,121,225,121,112
ssangyong_actyon_2008,83,177,83,79
lancia_ypsilon_2004,147,298,142,139
mercedes-benz_ml-63-amg_2007,111,236,111,108
honda_fr-v_2006,139,297,137,135
renault_clio_2006,118,234,117,115
skoda_yeti_2010,95,236,94,92
ferrari_458_2014,117,247,114,102
mercedes-benz_c-220_2010,155,371,149,144
hyundai_i40_2014,143,388,143,141
mercedes-benz_e-55-amg_2004,97,223,96,96
volkswagen_touran_2011,66,195,66,66
renault_kangoo_2017,99,251,99,96
mercedes-benz_gle-500_2016,77,244,73,71
mini_cooper-sd_2016,90,261,90,85
bmw_m6_2017,90,237,89,86
mitsubishi_space-star_2005,108,242,107,106
hyundai_santa-fe_2002,101,236,101,98
mitsubishi_l200_2007,146,335,143,136
citroen_c3_2003,169,330,167,162
kia_cee'd-sportswagon_2012,108,236,105,103
nissan_nv200_2014,115,261,114,109
peugeot_407_2008,133,285,128,125
mercedes-benz_sprinter_2013,99,273,94,85
mitsubishi_outlander_2004,106,243,106,106
renault_grand-scenic_2015,84,228,84,83
mazda_323_2003,129,255,128,121
volkswagen_polo-gti_2013,91,218,87,79
opel_astra_2009,216,451,215,211
chrysler_crossfire_2007,121,218,118,113
kia_optima_2017,96,252,94,92
citroen_ds3_2018,123,336,123,117
nissan_patrol_2002,95,167,93,87
suzuki_ignis_2008,94,205,94,93
mercedes-benz_a-160_2011,97,242,94,91
audi_a7_2017,108,303,104,101
mercedes-benz_a-190_2001,139,310,138,135
citroen_spacetourer_2017,101,261,101,97
volkswagen_touareg_2011,104,249,104,103
renault_trafic_2006,80,203,75,71
chrysler_300c_2010,30,66,30,29
land-rover_discovery_2005,193,399,190,183
kia_cee'd_2011,97,202,96,91
renault_laguna_2004,126,302,124,121
saab_9-5_2003,114,263,114,112
toyota_corolla_2010,34,86,34,33
lexus_rc-300h_2018,95,232,93,91
mercedes-benz_c-450_2017,38,98,37,33
volkswagen_t6-california_2017,75,244,70,64
volkswagen_t5-kombi_2010,104,238,101,97
mercedes-benz_sl-350_2004,121,243,121,117
mercedes-benz_c-220_2015,117,270,116,113
volkswagen_transporter_2015,86,224,86,86
ford_transit-courier_2017,117,244,116,115
hyundai_i20_2016,71,215,70,70
seat_leon_2007,114,214,111,104
audi_a1_2012,86,225,85,84
mini_one-d_2005,63,125,62,58
mercedes-benz_gla-200_2016,105,241,100,95
renault_kangoo_2015,102,254,97,94
kia_picanto_2012,99,267,98,97
ferrari_575_2004,93,224,92,85
daewoo_tacuma_2002,55,134,54,53
ds-automobiles_ds-3_2014,101,235,98,92
opel_movano_2011,174,410,171,163
mini_cooper_2010,208,445,201,189
opel_adam_2018,102,271,101,98
mercedes-benz_g-500_2016,121,268,120,105
volkswagen_others_2006,105,200,102,94
renault_grand-espace_2011,144,387,141,139
mercedes-benz_e-280_2005,160,341,159,158
smart_brabus_2008,91,176,88,81
audi_a4-allroad_2012,89,206,89,89
mini_cooper-sd-clubman_2016,100,267,97,93
mercedes-benz_200_2013,104,213,103,101
abarth_punto-evo_2012,72,142,71,66
toyota_prius_2011,107,266,105,104
fiat_punto_2008,157,356,156,154
seat_mii_2013,87,237,85,84
renault_espace_2011,147,380,145,141
mercedes-benz_a-180_2009,94,220,94,92
fiat_idea_2012,63,151,63,63
citroen_c8_2011,86,194,85,83
mercedes-benz_cls-250_2012,97,224,96,93
land-rover_discovery_2011,95,248,93,88
porsche_996_2004,102,238,95,91
peugeot_308_2011,117,282,115,112
fiat_panda_2003,139,310,134,123
bmw_525_2010,105,240,104,104
fiat_500_2011,189,379,187,180
volkswagen_golf-variant_2009,188,421,188,182
kia_picanto_2011,108,249,106,105
volkswagen_passat-variant_2006,97,221,96,94
volkswagen_t5-kombi_2015,94,239,91,89
lancia_phedra_2005,73,180,73,71
volkswagen_amarok_2014,101,265,100,94
volkswagen_caddy_2006,96,229,91,85
audi_s5_2014,105,233,104,102
hyundai_tucson_2008,94,207,94,93
peugeot_107_2013,91,202,90,85
mitsubishi_outlander_2009,103,237,100,96
mini_cooper-clubman_2012,96,227,92,88
seat_mii_2016,99,239,98,97
peugeot_107_2012,180,438,177,172
bmw_530_2015,80,244,80,79
renault_twingo_2018,80,208,78,73
mercedes-benz_cla-200_2014,84,207,83,78
seat_ibiza_2008,107,249,103,101
chevrolet_cruze_2014,101,225,100,95
audi_r8_2007,120,242,119,114
honda_cr-v_2011,82,228,81,78
bmw_320_2010,128,258,126,118
bmw_318_2004,147,260,147,146
mitsubishi_asx_2015,91,274,90,87
suzuki_alto_2006,33,75,33,32
mini_cooper-countryman_2018,100,251,98,91
jeep_wrangler_2007,127,249,121,105
hyundai_atos_2001,134,279,134,131
alfa-romeo_giulietta_2014,158,411,154,146
bmw_750_2018,79,267,77,73
mazda_premacy_2003,133,249,133,133
alfa-romeo_156_2007,25,52,25,22
audi_a4-allroad_2018,96,261,95,93
honda_fr-v_2007,131,277,128,120
audi_sq5_2017,92,268,89,87
volkswagen_golf-cabriolet_2016,94,229,92,91
hyundai_coupe_2006,75,161,75,73
volkswagen_polo-cross_2014,56,192,55,53
mazda_demio_2001,132,261,131,125
peugeot_406_2003,140,333,137,131
mercedes-benz_v-250_2016,70,240,69,63
mercedes-benz_b-200_2015,120,266,117,112
peugeot_407_2010,146,349,145,143
mini_one-d-clubman_2017,207,428,207,204
land-rover_freelander_2004,133,296,128,119
chrysler_pt-cruiser_2005,204,379,200,193
bmw_530_2012,95,253,93,91
peugeot_406_2001,123,274,119,116
skoda_karoq_2017,79,265,78,77
mercedes-benz_c-180_2011,102,254,98,94
mercedes-benz_e-280_2009,166,336,165,161
fiat_punto_2006,98,226,96,91
mercedes-benz_a-180_2007,162,362,157,154
nissan_qashqai_2011,88,222,88,86
suzuki_jimny_2008,168,370,163,154
mercedes-benz_c-220_2014,191,436,188,182
ford_transit_2010,164,370,160,151
bmw_650_2011,98,205,96,91
bmw_218_2016,95,221,93,93
bmw_430_2014,104,246,103,101
ferrari_458_2010,135,262,129,124
fiat_croma_2008,94,218,91,89
renault_twingo_2001,190,363,188,186
ferrari_f430_2010,51,87,49,45
tesla_model-s_2015,116,260,109,105
bmw_328_2016,74,161,73,71
bmw_535_2006,86,200,83,81
opel_crossland-x_2017,92,261,91,89
mercedes-benz_slk-280_2007,91,155,90,88
bmw_325_2004,115,223,112,102
nissan_pulsar_2014,89,245,88,85
ford_focus-cc_2008,201,373,197,193
jaguar_x-type_2007,97,216,97,95
bmw_520_2010,90,198,87,85
mercedes-benz_glc-350_2017,76,249,73,66
volkswagen_passat-cc_2011,93,225,92,89
mercedes-benz_ml-350_2015,95,260,95,95
nissan_pulsar_2016,108,248,107,107
audi_a6_2015,82,234,78,74
bmw_z4_2008,219,422,213,209
volkswagen_lt_2005,77,175,73,67
iveco_daily_2008,100,244,90,74
volkswagen_golf-variant_2017,152,457,149,143
peugeot_406_2004,89,193,88,86
hyundai_i10_2010,209,450,207,202
fiat_500l_2018,121,258,116,112
audi_a3_2001,88,176,85,83
volkswagen_maggiolino_2018,105,210,104,103
suzuki_alto_2005,114,232,113,112
renault_vel-satis_2003,68,146,65,62
hyundai_ix20_2016,95,240,95,95
fiat_freemont_2012,170,384,166,165
bmw_525_2015,88,277,87,85
mercedes-benz_x-250_2017,75,218,74,72
fiat_stilo_2008,72,145,72,70
suzuki_vitara_2015,98,276,97,95
mercedes-benz_a-250_2015,106,250,104,97
hyundai_santa-fe_2005,175,375,173,167
honda_cr-v_2006,105,240,103,100
fiat_scudo_2006,87,180,87,82
bmw_225_2015,95,240,95,93
hyundai_i20_2011,98,248,97,97
seat_altea_2006,107,227,107,104
peugeot_407_2004,145,314,145,144
alfa-romeo_mito_2015,93,251,90,89
renault_clio_2004,118,269,115,113
mercedes-benz_e-200_2017,106,288,104,103
bmw_335_2013,93,226,90,88
kia_stonic_2017,89,235,89,87
mazda_cx-5_2016,97,258,96,84
aston-martin_v8_2008,119,250,111,106
mercedes-benz_220_2016,90,254,90,88
honda_jazz_2009,100,265,98,95
mercedes-benz_r-320_2009,91,224,88,82
ford_mondeo_2009,155,375,154,152
mercedes-benz_e-320_2001,172,384,171,166
ford_tourneo-connect_2017,79,212,77,73
fiat_scudo_2010,161,390,158,157
bmw_525_2016,87,232,87,85
mercedes-benz_a-170_2003,153,354,153,145
bmw_120_2004,165,323,164,157
kia_soul_2012,100,236,100,99
mini_one-countryman_2014,88,235,88,83
bmw_330_2016,80,211,77,77
bmw_x2_2017,62,150,62,59
fiat_punto_2004,119,254,117,113
opel_zafira_2014,93,224,91,88
mercedes-benz_c-300_2017,99,243,95,89
citroen_c4-picasso_2018,83,224,83,77
land-rover_range-rover-velar_2018,114,217,111,84
mercedes-benz_gle-63-amg_2018,99,268,98,95
skoda_superb_2009,94,247,94,91
mazda_rx-8_2006,170,315,168,160
volkswagen_golf-gti_2001,112,204,112,105
renault_scenic_2018,116,278,114,113
mercedes-benz_vito_2013,85,209,83,82
ford_fusion_2007,104,229,103,100
skoda_superb_2004,172,376,168,163
